idzap          id_el                                               mxlen_e  name_e                                                                                                       desc_e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               type_d  type_e  form_e  
D_0300/00900   ZL_LIST/SCHET/YEAR                                  4        Отчетный год                                                                                                 Год оказания медицинской помощи.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     D       О       N
D_0300/01000   ZL_LIST/SCHET/MONTH                                 2        Отчетный месяц                                                                                               Месяц оказания медицинской помощи.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   D       О       N
D_0300/01100   ZL_LIST/SCHET/NSCHET                                15       Номер счёта                                                                                                  NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       О       T
D_0300/01200   ZL_LIST/SCHET/DSCHET                                10       Дата выставления счёта                                                                                       В формате ГГГГ-ММ-ДД                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       О       D
D_0300/01300   ZL_LIST/SCHET/SUMMAV                                15.2     Сумма счета, выставленная на оплату                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       О       N
D_0300/01400   ZL_LIST/SCHET/COMENTS                               250      Служебное поле к счету                                                                                       NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       У       T
D_0300/01500   ZL_LIST/SCHET/SUMMAP                                15.2     Сумма, принятая к оплате                                                                                     NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       О       N
D_0300/01600   ZL_LIST/SCHET/SANK_MEK                              15.2     Финансовые санкции (МЭК)                                                                                     Указываются финансовые санкции, применённые к МО по данному счёту.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   D       У       N
D_0400/02000   ZL_LIST/ZAP/PACIENT                                 NULL     Сведения о пациенте                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       О       S
D_0400/02100   ZL_LIST/ZAP/Z_SL                                    NULL     Сведения о законченном случае                                                                                Сведения о законченном случае оказания медицинской помощи. Случай включается в реестр только при условии, что сумма, предъявленная к оплате по законченному случаю, больше 0.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        D       О       S
D_0500/02200   ZL_LIST/ZAP/PACIENT/VPOLIS                          1        Тип документа, подтверждающего факт страхования по ОМС                                                       Заполняется в соответствии с F008 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      D       О       N
D_0500/02300   ZL_LIST/ZAP/PACIENT/SPOLIS                          10       Серия документа, подтверждающего факт страхования по ОМС                                                     NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       У       T
D_0500/02400   ZL_LIST/ZAP/PACIENT/NPOLIS                          20       Номер документа, подтверждающего факт страхования по ОМС                                                     Может не заполняться только для полисов единого образца. В этом случае достаточно указания ЕНП в соответствующем поле.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               D       У       T
D_0500/02500   ZL_LIST/ZAP/PACIENT/ENP                             16       Единый номер полиса                                                                                          Обязателен для указания после идентификации застрахованного лица в Едином регистре застрахованных лиц.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               D       У       T
D_0500/02600   ZL_LIST/ZAP/PACIENT/ST_OKATO                        5        Регион страхования                                                                                           Указывается ОКАТО территории выдачи ДПФС для полисов старого образца при наличии данных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              D       Н       T
D_0500/02700   ZL_LIST/ZAP/PACIENT/FAM                             40       Фамилия пациента                                                                                             Указывается обязательно при наличии в документе УДЛ. В случае отсутствия реквизита в документе УДЛ в поле DOST обязательно включается соответствующее значение, и реквизит не указывается. Для детей при отсутствии данных ФИО до государственной регистрации не указывается. В этом случае значение поля NOVOR должно быть отлично от нуля.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         D       У       T
D_0500/02800   ZL_LIST/ZAP/PACIENT/IM                              40       Имя пациента                                                                                                 Указывается обязательно при наличии в документе УДЛ. В случае отсутствия реквизита в документе УДЛ в поле DOST обязательно включается соответствующее значение, и реквизит не указывается. Для детей при отсутствии данных ФИО до государственной регистрации не указывается. В этом случае значение поля NOVOR должно быть отлично от нуля.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         D       У       T
D_0500/02900   ZL_LIST/ZAP/PACIENT/OT                              40       Отчество пациента                                                                                            Указывается при наличии в документе УДЛ. В случае отсутствия реквизит не указывается и в поле DOST можно опустить соответствующее значение. Для детей при отсутствии данных ФИО до государственной регистрации не указывается. В этом случае значение поля NOVOR должно быть отлично от нуля.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        D       У       T
D_0500/03000   ZL_LIST/ZAP/PACIENT/W                               1        Пол пациента                                                                                                 Заполняется в соответствии с классификатором V005 Приложения А.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      D       О       N
D_0500/03100   ZL_LIST/ZAP/PACIENT/DR                              10       Дата рождения пациента                                                                                       Если в документе, удостоверяющем личность, не указан день рождения, то он принимается равным «01». При этом в поле DOST должно быть указано значение «4». Если в документе, удостоверяющем личность, не указан месяц рождения, то месяц рождения принимается равным «01» (январь). При этом в поле DOST должно быть указано значение «5». Если в документе, удостоверяющем личность, дата рождения не соответствует календарю, то из такой даты должны быть удалены ошибочные элементы и указана часть даты рождения с точностью до года или до месяца (как описано выше). При этом в поле DOST должно быть указано значение «6», а также значение «4» или «5» соответственно                                                                                                                                                                                        D       О       D
D_0500/03200   ZL_LIST/ZAP/PACIENT/DOST                            1        Код надёжности идентификации                                                                                 1 – отсутствует отчество; 2 – отсутствует фамилия; 3 – отсутствует имя; 4 – известен только месяц и год даты рождения; 5 – известен только год даты рождения; 6 – дата рождения не соответствует календарю. Поле повторяется столько раз, сколько особых случаев имеет место.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        D       УМ      N
D_0500/03300   ZL_LIST/ZAP/PACIENT/FAM_P                           40       Фамилия представителя пациента                                                                               Заполняются данные о представителе новорожденного пациента без государственной регистрации рождения. Реквизит указывается обязательно, если значение поля NOVOR отлично от нуля и фамилия представителя присутствует в документе УДЛ. В случае отсутствия реквизита в документе УДЛ в поле DOST_P обязательно включается соответствующее значение, и реквизит не указывается.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        D       У       T
D_0600/05500   ZL_LIST/ZAP/Z_SL/P_DISP2                            1        Признак оказания медицинской помощи в рамках 2 этапа диспансеризации                                         Обязательно для заполнения значением «1» для случая оказания медицинской помощи в рамках 2 этапа диспансеризации                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     D       У       N
D_0500/03400   ZL_LIST/ZAP/PACIENT/IM_P                            40       Имя представителя пациента                                                                                   Заполняются данные о представителе новорожденного пациента без государственной регистрации рождения. Реквизит указывается обязательно, если значение поля NOVOR отлично от нуля и имя представителя присутствует в документе УДЛ. В случае отсутствия реквизита в документе УДЛ в поле DOST_P обязательно включается соответствующее значение, и реквизит не указывается.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            D       У       T
D_0500/03500   ZL_LIST/ZAP/PACIENT/OT_P                            40       Отчество представителя пациента                                                                              Заполняются данные о представителе новорожденного пациента без государственной регистрации рождения. Реквизит указывается обязательно, если значение поля NOVOR отлично от нуля и отчество представителя присутствует в документе УДЛ. В случае отсутствия в документе УДЛ реквизит не указывается и в поле DOST_P можно опустить соответствующее значение.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          D       У       T
D_0500/03600   ZL_LIST/ZAP/PACIENT/W_P                             1        Пол представителя пациента                                                                                   Заполняются данные о представителе новорожденного пациента без государственной регистрации рождения. Реквизит указывается обязательно, если значение поля NOVOR отлично от нуля.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     D       У       N
D_0500/03700   ZL_LIST/ZAP/PACIENT/DR_P                            10       Дата рождения представителя пациента                                                                         Заполняются данные о представителе новорожденного пациента без государственной регистрации рождения. Реквизитуказывается обязательно, если значение поля NOVOR отлично от нуля. Если в документе, удостоверяющем личность, не указан день рождения, то он принимается равным «01». При этом в поле DOST_P должно быть указано значение «4». Если в документе, удостоверяющем личность, не указан месяц рождения, то месяц рождения принимается равным «01» (январь). При этом в поле DOST_P должно быть указано значение «5». Если в документе, удостоверяющем личность, дата рождения не соответствует календарю, то из такой даты должны быть удалены ошибочные элементы и указана часть даты рождения с точностью до года или до месяца (как описано выше). При этом в поле DOST_P должно быть указано значение «6», а также значение «4» или «5» соответственно  D       У       D
D_0500/03800   ZL_LIST/ZAP/PACIENT/DOST_P                          1        Код надёжности идентификации представителя                                                                   1 – отсутствует отчество; 2 – отсутствует фамилия; 3 – отсутствует имя; 4 – известен только месяц и год даты рождения; 5 – известен только год даты рождения; 6 – дата рождения не соответствует календарю. Поле повторяется столько раз, сколько особых случаев имеет место.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        D       УМ      N
D_0500/03900   ZL_LIST/ZAP/PACIENT/MR                              100      Место рождения пациента или представителя                                                                    Место рождения указывается в том виде, в котором оно записано в предъявленном документе, удостоверяющем личность.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    D       У       T
D_0500/04000   ZL_LIST/ZAP/PACIENT/DOCTYPE                         2        Тип документа, удостоверяющего личность пациента или представителя                                           F011 «Классификатор типов документов, удостоверяющих личность». При указании ЕНП может не заполняться.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               D       У       T
D_0500/04100   ZL_LIST/ZAP/PACIENT/DOCSER                          10       Серия документа, удостоверяющего личность пациента или представителя                                         При указании ЕНП может не заполняться. Должны соблюдаться требования по маске серии документов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       D       У       T
D_0500/04200   ZL_LIST/ZAP/PACIENT/DOCNUM                          20       Номер документа, удостоверяющего личность пациента или представителя                                         При указании ЕНП может не заполняться. Должны соблюдаться требования по маске номера документов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      D       У       T
D_0500/04210   ZL_LIST/ZAP/PACIENT/DOCDATE                         10       Дата выдачи документа, удостоверяющего личность пациента или представителя                                   При указании ЕНП может не заполняться                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                D       У       D
D_0500/04220   ZL_LIST/ZAP/PACIENT/DOCORG                          1000     Наименование органа, выдавшего документ, удостоверяющий личность                                             При указании ЕНП может не заполняться                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                D       У       T
D_0500/04300   ZL_LIST/ZAP/PACIENT/SNILS                           14       СНИЛС пациента или представителя                                                                             СНИЛС с разделителями. Указывается при наличии.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      D       У       T
D_0500/04400   ZL_LIST/ZAP/PACIENT/OKATOG                          11       Код места жительства по ОКАТО                                                                                Заполняется при наличии сведений. Должно указываться с максимальной известной точностью, неизвестная точная часть дополняется нулями                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       У       T
D_0500/04500   ZL_LIST/ZAP/PACIENT/OKATOP                          11       Код места пребывания по ОКАТО                                                                                Заполняется при наличии сведений. Должно указываться с максимальной известной точностью, неизвестная точная часть дополняется нулями                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 D       У       T
D_0500/04600   ZL_LIST/ZAP/PACIENT/NOVOR                           9        Признак новорождённого                                                                                       Указывается в случае оказания медицинской помощи ребёнку до государственной регистрации рождения. 0 – признак отсутствует. Если значение признака отлично от нуля, он заполняется по следующему шаблону: ПДДММГГН, где П – пол ребёнка в соответствии с классификатором V005 Приложения А; ДД – день рождения; ММ – месяц рождения; ГГ – последние две цифры года рождения; Н – порядковый номер ребёнка (до двух знаков).                                                                                                                                                                                                                                                                                                                                                                                                                                           D       О       T
